Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,city mpg,Popularity,MSRP,Car_Type,Value_Score
BMW,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,3916,46135,Normal,0.007673133196055055
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,19.0,3916,40650,Normal,0.007847478474784748
BMW,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,3916,36350,Normal,0.008803301237964236
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,18.0,3916,29450,Normal,0.008421052631578947
BMW,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,18.0,3916,34500,Normal,0.007188405797101449
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,18.0,3916,31200,Normal,0.007948717948717949
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,17.0,3916,44100,Normal,0.007188208616780045
BMW,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,3916,39300,Normal,0.008142493638676845
BMW,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,18.0,3916,36900,Normal,0.006720867208672087
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,18.0,3916,37200,Normal,0.006666666666666667
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,3916,39600,Normal,0.00808080808080808
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,3916,31500,Normal,0.007904761904761904
BMW,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,19.0,3916,44400,Normal,0.007184684684684685
BMW,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,19.0,3916,37200,Normal,0.0066935483870967745
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,18.0,3916,48250,Normal,0.007807118254879449
BMW,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,3916,43550,Normal,0.0945
Audi,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,17.0,3105,2000,Normal,0.094
Audi,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,16.0,3105,2000,Normal,0.0945
Audi,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.094
Audi,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,17.0,3105,2000,Normal,0.094
Audi,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,16.0,3105,2000,Normal,0.094
Audi,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.094
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,16.0,3105,2000,Normal,0.006764866339334425
Audi,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.007441488297659532
Audi,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,17.0,3105,2000,Normal,0.00659691434651534
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.074
Audi,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,16.0,3105,2000,Normal,0.0875
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26.0,819,27495,Normal,0.0875
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26.0,819,24995,Normal,0.074
FIAT,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26.0,819,28195,Normal,0.074
Mercedes-Benz,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,18.0,617,2000,Normal,0.0875
Mercedes-Benz,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,17.0,617,2000,Normal,0.008006088280060882
Mercedes-Benz,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,17.0,617,2000,Normal,0.006804657179818888
Mercedes-Benz,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,18.0,617,2000,Normal,0.0069743589743589745
Mercedes-Benz,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,18.0,617,2000,Normal,0.007546628407460545
Mercedes-Benz,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,17.0,617,2000,Normal,0.006445264452644526
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,23.0,3916,32850,Normal,0.007701019252548132
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23.0,3916,38650,Normal,0.007975646879756468
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,20.0,3916,48750,Normal,0.007367280606717226
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,23.0,3916,34850,Normal,0.006699507389162562
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,22.0,3916,40650,Normal,0.007664155005382131
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,20.0,3916,44150,Normal,0.0072579001019368
BMW,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22.0,3916,32850,Normal,0.006973555337904016
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,20.0,3916,46150,Normal,0.008008998875140607
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,20.0,3916,50750,Normal,0.006957637997432606
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,21.0,3916,46450,Normal,0.008205128205128205
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,21.0,3916,49050,Normal,0.007738264580369843
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,21.0,3916,51050,Normal,0.006617826617826618
BMW,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,21.0,3916,44450,Normal,0.089
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23.0,3916,38950,Normal,0.0885
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24.0,3916,33150,Normal,0.0885
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,24.0,3916,35150,Normal,0.1165
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,23.0,3916,40950,Normal,0.1165
Audi,1990,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.089
Audi,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,15.0,3105,2000,Normal,0.008224076281287247
